"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"01/16/2024","Buy","ALB","TDA TRAN - Bought 100 (ALB) @155.0000","100","155.0","","-15500"
"01/18/2024","Buy","GOOG","TDA TRAN - Bought 50 (GOOG) @140.0000","50","140.0","","-7000"
"02/10/2024","Buy","NVDA","TDA TRAN - Bought 20 (NVDA) @600.0000","20","600.0","","-12000"
"02/15/2024","Buy","FCX","TDA TRAN - Bought 200 (FCX) @40.0000","200","40.0","","-8000"
"03/01/2024","Buy","MELI","TDA TRAN - Bought 10 (MELI) @1500.0000","10","1500.0","","-15000"
"03/10/2024","Sell","ALB","TDA TRAN - Sold 50 (ALB) @160.0000","-50","160.0","","8000"
"03/15/2024","Sell","GOOG","TDA TRAN - Sold 50 (GOOG) @150.0000","-50","150.0","","7500"
"04/01/2024","Sell","AMD","TDA TRAN - Sold 10 (AMD) @170.0000","-10","170.0","","1700"
"04/10/2024","Sell to Open","VXX","TDA TRAN - Sold to Open 15 (VXX Feb 23 2024 14.0 Call) @1.4200","-1500","1.42","","2130"
"01/02/2024","Qual Div Reinvest","","TDA TRAN - QUALIFIED DIVIDEND (ALB)","","","","40"
"02/02/2024","Qual Div Reinvest","","TDA TRAN - QUALIFIED DIVIDEND (GOOG)","","","","25"
"05/01/2024","Dividend","NVDA","TDA TRAN - ORDINARY DIVIDEND (NVDA)","","","","15"
"05/15/2024","Dividend","FCX","TDA TRAN - ORDINARY DIVIDEND (FCX)","","","","30"
"06/01/2024","Dividend","MELI","TDA TRAN - ORDINARY DIVIDEND (MELI)","","","","50"
"01/19/2024","Fees","VXX","TDA TRAN - Sold to Open 15...","","","9.96","-9.96"
"04/11/2024","Fees","VXX","TDA TRAN - Option Fee","","","5.00","-5.00"
"01/16/2024","Journaled Shares","ALB","TDA TRAN - REMOVAL OF OPTION DUE TO ASSIGNMENT","1","","","0"
"06/15/2024","Journaled Shares","NVDA","TDA TRAN - STOCK SPLIT","100","","","0"
"01/05/2024","Cash","","WIRE IN FROM ACC 12345","","","","50000"
"12/15/2024","Cash","","WIRE OUT TO ACC 12345","","","","-10000"
